㐖毒	xiédú
一事不知	yīshìbùzhī
一事中	yīshìzhōng
一事无成	yíshìwúchéng
一二三四五六七	yīèrsānsìwǔliùqī
一些	yīxiē
一些半些	yīxiēbànxiē
一些子	yīxiēzǐ
一亩三分地	yīmǔsānfēndì
一亲芳泽	yīqīnfāngzé
一人传虚	yīrénchuánxū
一人作事一人当	yīrénzuòshìyīréndāng
一人作罪一人当	yīrénzuòzuìyīréndāng
一人做事一人当	yìrénzuòshìyìréndāng
一人善射	yīrénshànshè
一人得道	yīréndédào
一人有庆	yīrényǒuqìng
一人永占	yīrényǒngzhàn
一仆二主	yīpúèrzhǔ
一介不取	yījièbùqǔ
一介不苟	yījièbùgǒu
一介行人	yījièxíngrén
一介行李	yījièxínglǐ
一从	yīcóng
一代不如一代	yīdàibùrúyīdài
一代楷模	yīdàikǎimó
一代风流	yīdàifēngliú
一令纸	yīlǐngzhǐ
一以当十	yīyǐdāngshí
一以当百	yīyǐdāngbǎi
一价	yījià
一任	yīrèn
一份	yīfèn
一会	yīhuì
一会价	yīhuìjià
一会儿	yīhuìer
一会家	yīhuìjiā
一传十	yīchuánshí
一传十十传百	yīchuánshíshíchuánbǎi
一似	yīsì
一体	yītǐ
一体两面	yìtǐliǎngmiàn
一体化	yītǐhuà
一体同心	yītǐtóngxīn
一何	yīhé
一佛出世	yīfóchūshì
一侧	yīcè
一侧化	yīcèhuà
一倡一和	yīchàngyīhé
一倡三叹	yīchàngsāntàn
一倡百和	yīchàngbǎihè
一偏之见	yīpiānzhījiàn
一偏之论	yīpiānzhīlùn
一傮情二傮例	yīzāoqíngèrzāolì
一儹劲	yīzǎnjìn
一元化	yīyuánhuà
一元大武	yīyuándàwǔ
一元论	yīyuánlùn
一八四四年经济学哲学手稿	yībāsìsìniánjīngjìxuézhéxuéshǒugǎo
一六兀剌	yīliùwūlà
一共	yīgòng
一再地	yīzàide
一再地吼	yīzàidehǒu
一再行	yīzàixíng
一冲性儿	yīchōngxìngér
一冲性子	yīchōngxìngzi
一出戏	yìchūxì
一刀切	yīdāoqiē
一分	yīfēn
一分一毫	yīfēnyīháo
一分为二	yīfēnwéièr
一分子	yīfènzǐ
一分子甲烷	yīfēnzǐjiǎwán
一分收获	yīfēnshōuhuò
一分熟	yīfēnshú
一分耕耘	yīfēngēngyún
一分行情一分货	yīfēnhángqíngyīfēnhuò
一分钟	yìfēnzhōng
一分钱一分货	yīfēnqiányīfēnhuò
一分钱两分货	yīfēnqiánliǎngfēnhuò
一切	yīqiè
一切万物	yīqiēwànwù
一切事物	yīqièshìwù
一切众生	yīqièzhòngshēng
一切向钱看	yīqièxiàngqiánkàn
一切地	yīqiède
一切如旧	yīqièrújiù
一切就绪	yīqièjiùxù
一切智	yīqièzhì
一切有情	yīqièyǒuqíng
一切法	yīqièfǎ
一切种智	yīqièzhǒngzhì
一切经	yīqièjīng
一切诸佛	yīqièzhūfó
一切险	yīqièxiǎn
一别头	yībiétóu
一别气	yībiéqì
一刬	yīchàn
一到处	yídàochù
一制地	yīzhìde
一刷	yīshuā
一刹	yīshā
一刹那	yīchànà
一刹那顷	yīchànàqǐng
一刻地	yīkède
一剑之任	yījiànzhīrèn
一副	yīfù
一力承当	yīlìchéngdāng
一动不动	yīdòngbùdòng
一动不如一静	yīdòngbùrúyījìng
一劳永逸地	yìláoyǒngyìde
一包在内	yībāozàinèi
一化	yīhuā
一匙	yīchí
一匡九合	yīkuāngjiǔhé
一匮	yīkuì
一区	yīqū
一十八层地狱	yīshíbācéngdìyù
一十八般兵器	yīshíbābānbīngqì
一十八般武艺	yīshíbābānwǔyì
一千八百担	yīqiānbābǎidàn
一半地	yíbànde
一卒	yīzú
一卒之田	yīzúzhītián
一卡通	yīkǎtōng
一卧不起	yīwòbùqǐ
一卷	yījuàn
一厢情愿地想	yìxiāngqíngyuàndexiǎng
一去不回	yīqùbùhuí
一去不复返	yīqùbùfùfǎn
一去无影踪	yīqùwúyǐngzōng
一双两好	yīshuāngliǎnghǎo
一反其道	yīfǎnqídào
一发	yīfā
一发不可收拾	yīfābùkěshōushi
一发千钧	yīfàqiānjūn
一发破的	yīfāpòdì
一发而不可收	yīfāérbùkěshōu
一口不能着两匙	yīkǒubùnéngzháoliǎngchí
一口两匙	yīkǒuliǎngchí
一口中	yīkǒuzhōng
一口价	yīkǒujià
一口吃不成胖子	yīkǒuchībùchéngpàngzi
一口吃个胖子	yīkǒuchīgepàngzi
一口同声	yīkǒutóngshēng
一口同音	yīkǒutóngyīn
一口吸尽西江水	yīkǒuxījìnxījiāngshuǐ
一口气地	yìkǒuqìde
一口长斋	yīkǒuchángzhāi
一句	yījù
一句话	yījùhuà
一句钟	yījùzhōng
一只	yīzhī
一台二妙	yītáièrmiào
一台二绝	yītáièrjué
一叶	yīyè
一叶扁舟	yíyèpiānzhōu
一叶报秋	yīyèbàoqiū
一叶知秋	yīyèzhīqiū
一叶秋	yīyèqiū
一叶落知天下秋	yīyèluòzhītiānxiàqiū
一叶蔽目	yīyèbìmù
一叶迷山	yīyèmíshān
一叶障目	yīyèzhàngmù
一号	yīhào
一号木杆	yīhàomùgān
一号电池	yīhàodiànchí
一各多	yīgèduō
一各都	yīgèdōu
一合	yīhé
一合儿	yīhéér
一合再离	yīhézàilí
一同	yītóng
一名誉地	yīmíngyùde
一吐	yītǔ
一吐为快	yītǔwéikuài
一呱声	yīguāshēng
一味地	yīwèide
一味地强调	yīwèideqiángdiào
一味禅	yīwèichán
一呵	yīhē
一呵而就	yīhēérjiù
一呼再喏	yīhūzàinuò
一呼百应	yīhūbǎiyìng
一和	yīhè
一和和	yīhèhé
一品红	yīpǐnhóng
一哄	yíhòng
一哄而上	yìhōngérshàng
一哄而散	yīhòngérsàn
一哄而起	yīhōngérqǐ
一哇声	yīwāshēng
一哭二闹三上吊	yīkūèrnàosānshàngdiào
一唱一和	yīchàngyīhè
一唱百和	yīchàngbǎihé
一喝	yīhē
一喷一醒	yīpēnyīxǐng
一回家	yīhuíjiā
一回生两回熟	yīhuíshēngliǎnghuíshú
一回生二回熟	yīhuíshēngèrhuíshú
一团和气	yītuánhéqì
一圪垛	yīgēduǒ
一地	yīdì
一地胡拿	yīdìhúná
一地里	yīdìlǐ
一地里胡拏	yīdìlǐhúná
一场	yīcháng
一场春梦	yīchǎngchūnmèng
一场梦	yìchángmèng
一场空	yīchángkōng
一场雨	yīchángyǔ
一均衡地	yījūnhéngde
一坐尽倾	yīzuòjìnqīng
一坐尽惊	yīzuòjìnjīng
一块地	yīkuàide
一块石头落了地	yīkuàishítouluòledì
一块石头落地	yīkuàishítóuluòdì
一垛	yīduǒ
一塌括仔	yītākuòzǎi
一塌括子	yītākuòzǐ
一塌糊涂	yītāhútú
一声不吭	yīshēngbùkēng
一声不吭地溜走	yīshēngbùkēngdeliūzǒu
一声不响	yìshēngbùxiǎng
一夔一契	yīkuíyīqì
一夕一朝	yīxīyīzhāo
一夕之间	yìxīzhījiān
一夕数惊	yīxīshùjīng
一多对应	yīduōduìyìng
一夜之间	yīyèzhījiān
一夜又一夜地	yīyèyòuyīyède
一夜夫妻百夜恩	yīyèfūqībǎiyèēn
一夜爆红	yīyèbàohóng
一夜走红	yíyèzǒuhóng
一夜露水	yīyèlùshui
一大串	yīdàchuàn
一大些	yīdàxiē
一大劫	yīdàjié
一大半	yīdàbàn
一大堆	yīdàduī
一大批	yīdàpī
一大把	yīdàbǎ
一大摞	yīdàluò
一大早	yīdàzǎo
一大早儿	yīdàzǎoer
一大溜	yīdàliù
一大趸儿	yīdàdǔnér
一大钱	yīdàqián
一天一个样	yītiānyīgeyàng
一天一地	yītiānyīdì
一天星斗	yītiānxīngdǒu
一夫	yīfū
一夫一妻	yīfūyīqī
一夫一妻制	yīfūyīqīzhì
一夫之勇	yīfūzhīyǒng
一夫之用	yīfūzhīyòng
一夫出死	yīfūchūsǐ
一夫多妻	yīfūduōqī
一夫当关	yīfūdāngguān
一夫拚命	yīfūpànmìng
一夫敢死	yīfūgǎnsǐ
一夫用	yīfūyòng
一夫荷戟	yīfūhèjǐ
一央一个肯	yīyāngyígèkěn
一头	yītóu
一头儿沉	yītouerchén
一头地	yītóudì
一头栽进	yītóuzāijìn
一头水	yītóushuǐ
一头热	yītóurè
一头雾水	yītóuwùshuǐ
一奇	yīqí
一契	yīqì
一好	yīhǎo
一妻制	yīqīzhì
一子出家	yīzǐchūjiā
一孔不达	yīkǒngbùdá
一孔之见	yīkǒngzhījiàn
一字一句	yīzìyījù
一字不变地	yīzìbùbiànde
一字不差	yīzìbùchā
一字不提	yīzìbùtí
一字不易	yīzìbùyì
一字不漏	yīzìbùlòu
一字不苟	yīzìbùgǒu
一字不落	yīzìbùlà
一字不识	yīzìbùshí
一字不错地熟记	yīzìbùcuòdeshújì
一字王	yīzìwáng
一字长城	yīzìchángchéng
一字长蛇阵	yīzìchángshézhèn
一学就会	yīxuéjiùhuì
一定不易	yīdìngbùyì
一定不移	yīdìngbùyí
一定义地	yídengyìde
一定地	yídengde
一定期地	yídengqīde
一定要	yīdìngyào
一定要清醒地认识到	yídengyàoqīngxǐngderènshídào
一宛	yīwǎn
一客不烦两家	yīkèbùfánliǎngjiā
一客不烦二主	yīkèbùfánèrzhǔ
一客不犯二主	yīkèbùfànèrzhǔ
一家	yījiā
一家一户	yījiāyīhù
一家一火	yījiāyīhuǒ
一家一计	yījiāyījì
一家不成	yījiābùchéng
一家之主	yījiāzhīzhǔ
一家之作	yījiāzhīzuò
一家之学	yījiāzhīxué
一家之言	yījiāzhīyán
一家之计	yījiāzhījì
一家之辞	yījiāzhīcí
一家之长	yījiāzhīzhǎng
一家书	yījiāshū
一家人	yījiārén
一家人不说两家话	yījiārénbùshuōliǎngjiāhuà
一家伙	yījiāhuo
一家哭	yījiākū
一家女不吃两家茶	yījiānǚbùchīliǎngjiāchá
一家子	yījiāzǐ
一家无二	yījiāwúèr
一家春	yījiāchūn
一家眷属	yījiājuànshǔ
一家老小	yījiālǎoxiǎo
一家言	yījiāyán
一家语	yījiāyǔ
一家货	yījiāhuò
一家门	yījiāmén
一家骨肉	yījiāgǔròu
一宿	yīxiǔ
一宿之行	yīxiǔzhīxíng
一宿觉	yīxiǔjué
一寸葚	yīcùnshèn
一对一斗牛	yīduìyīdòuniú
一寻一个着	yīxúnyígèzhe
一封轺传	yīfēngyáochuán
一射	yīshè
一射之地	yīshèzhīdì
一将难求	yījiàngnánqiú
一小会	yīxiǎohuì
一小撮	yīxiǎocuō
一小部分	yīxiǎobùfèn
一尘不到	yīchénbùdào
一尘不染	yīchénbùrǎn
一尘不缁	yīchénbùzī
一尺	yīchǐ
一尺之面	yīchǐzhīmiàn
一尺捶	yīchǐchuí
一尺水十丈波	yīchǐshuǐshízhàngbō
一尺水翻腾做一丈波	yīchǐshuǐfānténgzuòyīzhàngbō
一尺水翻腾做百丈波	yīchǐshuǐfānténgzuòbǎizhàngbō
一尺素	yīchǐsù
一尺腰	yīchǐyāo
一屈服地	yīqūfúde
一属	yīshǔ
一屯	yītún
一山不容二虎	yīshānbùróngèrhǔ
一山不藏二虎	yīshānbùcángèrhǔ
一岁使长百岁奴	yīsuìshǐchángbǎisuìnú
一岁载赦	yīsuìzàishè
一差两讹	yīchàliǎngé
一差二悮	yīchàèrwù
一差二误	yīchàèrwù
一差二错	yīchàèrcuò
一差半错	yīchàbàncuò
一己之见	yījǐzhījiàn
一帆顺风	yīfānshùnfēng
一帆风	yīfānfēng
一帆风顺	yīfānfēngshùn
一帖	yītiē
一带而过	yīdàiérguò
一席之地	yīxízhīdì
一幕幕地	yímùmùde
一干	yīgān
一干一方	yīgānyīfāng
一干二净	yīgānèrjìng
一干人犯	yīgānrénfàn
一年一度	yīniányīdù
一年三节	yìniánsānjié
一年到头	yìniándàotóu
一年半载	yīniánbànzǎi
一年大	yìniándà
一年春尽一年春	yìniánchūnjìnyìniánchūn
一年景	yìniánjǐng
一年期	yīniánqī
一年被蛇咬	yīniánbèishéyǎo
一年被蛇咬十年怕井绳	yīniánbèishéyǎoshíniánpàjǐngshéng
一并	yībìng
一床两好	yīchuángliǎnghǎo
一床锦被遮盖	yīchuángjǐnbèizhēgài
一应	yīyīng
一应俱全	yīyīngjùquán
一底一面	yīdǐyīmiàn
一度	yídù
一弄	yīnòng
一式二份	yīshìérfèn
一弹指	yītánzhǐ
一弹指顷	yītánzhǐqǐng
一彻万融	yīchèwànróng
一往无前	yīwǎngwúqián
一律地	yīlǜde
一得	yīde
一得之功	yīdézhīgōng
一得之愚	yīdézhīyú
一得之见	yīdézhījiàn
一心同体	yīxīntóngtǐ
一心同功	yīxīntónggōng
一心同归	yīxīntóngguī
一心无二	yīxīnwúèr
一心无罣碍	yīxīnwúguàài
一忙地	yīmángde
一念之差	yīniànzhīchā
一念之间	yíniànzhījiān
一忽拉	yīhūlā
一忽溜	yīhūliū
一性地	yīxìngde
一恁	yīnèn
一息奄奄	yīxīyǎnyǎn
一意孤行	yīyìgūxíng
一成不变	yīchéngbùbiàn
一成不易	yīchéngbùyì
一成形地	yìchéngxíngde
一戳四直溜	yīchuōsìzhíliū
一房一卧	yīfángyīwò
一房一厅	yīfángyītīng
一扇风	yīshānfēng
一手一脚	yīshǒuyījiǎo
一手托两家	yīshǒutuōliǎngjiā
一手把	yīshǒubǎ
一扎	yīzā
一扎脚儿	yīzājuéér
一打	yīdǎ
一托头	yītuōtóu
一扫而光	yīsǎoérguāng
一扫而空	yīsǎoérkōng
一技之长	yījìzhīcháng
一把好手	yībǎhǎoshǒu
一把子	yībàzi
一把屎一把尿	yībǎshǐyībǎniào
一把手	yībǎshǒu
一把抓	yībǎzhuā
一把抓了两头弗露	yībǎzhuāleliǎngtóufúlù
一把死拿	yībǎsǐná
一把眼泪一把鼻涕	yībǎyǎnlèiyībǎbítì
一把莲	yībǎlián
一把钥匙开一把锁	yībǎyàoshikāiyībǎsuǒ
一抓一大把	yīzhuāyīdàbǎ
一抔黄沙	yìpóuhuángshā
一折一磨	yīshéyīmó
一折两段	yīzhéliǎngduàn
一折书	yīshéshū
一报还一报	yībàohuányībào
一抹	yīmǒ
一抹光	yīmǒguāng
一抹到底	yīmǒdàodǐ
一抹头	yīmòtóu
一抹黑	yīmǒhēi
一担挑	yīdàntiāo
一拆雨	yīchāiyǔ
一拉溜	yīlāliū
一拍两散	yīpāiliǎngsàn
一拍即合	yīpāijíhé
一拓	yītuò
一拘	yījū
一招鲜	yīzhāoxiān
一拥而上	yīyōngérshàng
一拧身	yīnǐngshēn
一括	yīkuò
一拳头砸出一眼井	yīquántouzáchūyīyǎnjǐng
一拿一个着	yīnáyígèzhe
一指头禅	yīzhǐtouchán
一指禅	yīzhǐchán
一捻	yīniǎn
一捻捻	yīniǎnniǎn
一捻红	yīniǎnhóng
一掊土	yīpóutǔ
一排	yīpái
一排排地	yīpáipáide
一推六二五	yītuīliùèrwǔ
一掬同情之泪	yījūtóngqíngzhīlèi
一掴一掌血	yīguóyīzhǎngxuè
一掷乾坤	yīzhìqiánkūn
一掷百万	yīzhìbǎiwàn
一撇	yīpiě
一撇子	yīpiězǐ
一撒	yīsā
一撒手儿	yīsāshǒuer
一撒花	yīsāhuā
一撮	yīzuǒ
一擫红	yīyèhóng
一攒	yīzǎn
一攒劲	yīzǎnjìn
一攒攒	yīzǎnzǎn
一支半节	yīzhībànjié
一文不值	yīwénbùzhí
一文不名	yīwénbùmíng
一文钱难倒英雄汉	yīwénqiánnándǎoyīngxiónghàn
一斗珠	yīdǒuzhū
一斩齐	yīzhǎnqí
一方之任	yīfāngzhīrèn
一旁	yīpáng
一无可取	yīwúkěqǔ
一无所动	yīwúsuǒdòng
一无所取	yīwúsuǒqǔ
一无所得	yīwúsuǒdé
一无所成	yīwúsuǒchéng
一无所有	yīwúsuǒyǒu
一无所求	yīwúsuǒqiú
一无所知	yīwúsuǒzhī
一无所能	yīwúsuǒnéng
一无所获	yīwúsuǒhuò
一无所见	yīwúsuǒjiàn
一无所长	yīwúsuǒcháng
一无所闻	yīwúsuǒwén
一无是处	yīwúshìchù
一无长物	yīwúchángwù
一日万几	yīrìwànjǐ
一日万机	yīrìwànjī
一日万里	yīrìwànlǐ
一日三省	yīrìsānxǐng
一日不作	yīrìbùzuò
一日不如一日	yīrìbùrúyīrì
一日不害羞	yīrìbùhàixiū
一日不稼	yīrìbùjià
一日不见	yīrìbùjiàn
一日不识羞	yīrìbùshíxiū
一日不食	yīrìbùshí
一日为师	yīrìwéishī
一日之长	yīrìzhīcháng
一日纵敌	yīrìzòngdí
一旦无常	yīdànwúcháng
一时伯仲	yīshíbózhòng
一时千载	yīshíqiānzǎi
一时半会	yīshíbànhuì
一时半会儿	yīshíbànhuìer
一时地	yīshíde
一时得逞	yìshídéchěng
一时横流	yīshíhéngliú
一时间	yīshíjiān
一明了地	yīmíngliǎode
一易之地	yīyìzhīdì
一晃	yīhuǎng
一晃眼	yīhuǎngyǎn
一景儿	yījǐngér
一暝不视	yīmíngbùshì
一暴十寒	yīpùshíhán
一曝十寒	yīpùshíhán
一曲	yīqǔ
一曲阳关	yīqǔyángguān
一更	yīgēng
一月份	yīyuèfèn
一服	yīfù
一服药	yīfùyào
一望无垠	yíwàngwúyín
一望无涯	yíwàngwúyá
一望无边	yīwàngwúbiān
一望无际	yíwàngwújì
一望而知	yīwàngérzhī
一朝	yīzhāo
一朝一夕	yīzhāoyīxī
一朝之忿	yīzhāozhīfèn
一朝之患	yīzhāozhīhuàn
一朝千里	yīzhāoqiānlǐ
一朝夕	yīzhāoxī
一朝天子一朝臣	yīcháotiānzǐyīcháochén
一朝怀胎	yīzhāohuáitāi
一朝权在手	yīzhāoquánzàishǒu
一朝马死黄金尽	yīzhāomǎsǐhuángjīnjìn
一期	yīqī
一木之枝	yīmùzhīzhī
一木难支	yīmùnánzhī
一本万利	yīběnwànlì
一本正经	yīběnzhèngjīng
一札脚	yīzhájiǎo
一朵一朵地摘	yīduǒyīduǒdezhāi
一朵一朵地采	yīduǒyīduǒdecǎi
一杆子	yīgānzi
一杆子插到底	yīgānzichādàodǐ
一杆进洞	yīgānjìndòng
一条	yītiáo
一条心	yītiáoxīn
一条扁担两头挑	yītiáobiǎndànliǎngtóutiāo
一条枪	yītiáoqiāng
一条氷	yītiáobīng
一条线儿拴俩蚂蚱	yītiáoxiànershuānliǎmàzhà
一条绳上的蚂蚱	yītiáoshéngshàngdemàzha
一条腿	yītiáotuǐ
一条藤儿	yītiáoténgér
一条路走到黑	yītiáolùzǒudàohēi
一条边	yītiáobiān
一条道走到黑	yītiáodàozǒudàohēi
一条鞭	yītiáobiān
一条龙	yītiáolóng
一条龙服务	yītiáolóngfúwù
一板地	yībǎnde
一枕南柯	yīzhěnnánkē
一枝	yīzhī
一枝一栖	yīzhīyīqī
一枝一节	yīzhīyījié
一枝之栖	yīzhīzhīqī
一枝春	yīzhīchūn
一枝栖	yīzhīqī
一枝桂	yīzhīguì
一枝独秀	yīzhīdúxiù
一枝瓶	yīzhīpíng
一枝花	yīzhīhuā
一枝藤	yīzhīténg
一枝香	yīzhīxiāng
一枪命中	yīqiāngmìngzhòng
一柞	yīzhà
一柱观	yīzhùguān
一栖两雄	yīqīliǎngxióng
一样地	yīyàngde
一根绳上的蚂蚱	yīgēnshéngshàngdemàzha
一桁	yīhéng
一梢	yīshāo
一梦华胥	yīmènghuáxū
一棍子打死	yīgùnzidǎsǐ
一棒一条痕	yībàngyītiáohén
一棵树上吊死人	yīkēshùshàngdiàosǐrén
一概而论	yīgàiérlùn
一榜	yībǎng
一榻括子	yītàkuòzǐ
一榻横陈	yītàhéngchén
一模一样	yīmúyīyàng
一模二样	yīmóèryàng
一次一次地	yīcìyīcìde
一次函数	yīcìhánshù
一次又一次地	yīcìyòuyīcìde
一次地	yīcìde
一次性地	yícìxìngde
一次次地	yīcìcìde
一正	yīzhèng
一正压百邪	yīzhèngyābǎixié
一步一个脚印	yībùyīgèjiǎoyìn
一步一步地	yíbùyíbùde
一步一趋	yībùyīqū
一步八个谎	yībùbāgèhuǎng
一步步地	yíbùbùde
一死了之	yīsǐliǎozhī
一死的	yīsǐde
一毛不拔	yīmáobùbá
一毫不差	yīháobùchā
一毫不染	yīháobùrǎn
一毫不苟	yīháobùgǒu
一民同俗	yīmíntóngsú
一气一个死	yīqìyígèsǐ
一气呵成	yīqìhēchéng
一气地	yīqìde
一氧化二氮	yīyǎnghuàèrdàn
一氧化氮	yīyǎnghuàdàn
一氧化碳	yīyǎnghuàtàn
一沐三捉发	yīmùsānzhuōfà
一沐三握发	yīmùsānwòfà
一沓	yīdá
一沓纸	yìdázhǐ
一沓钞票	yìdáchāopiào
一沤	yīōu
一泡	yīpào
一泡子	yīpāozǐ
一波万波	yībōwànbō
一波三折	yībōsānzhé
一波才动万波随	yībōcáidòngwànbōsuí
一泻万里	yīxièwànlǐ
一派	yīpài
一派胡言	yípàihúyán
一派胡言乱语	yípàihúyánluànyǔ
一派谎言	yīpàihuǎngyán
一流地	yìliúde
一浆十饼	yījiāngshíbǐng
一涌性	yīyǒngxìng
一混	yīhùn
一混汤子	yīhùntāngzǐ
一清宿弊	yìqīngsùbì
一渊不两蛟	yīyuānbùliǎngjiāo
一溜	yīliū
一溜串儿	yīliūchuànér
一溜儿	yīliùér
一溜兀剌	yīliūwūlà
一溜子	yīliūzǐ
一溜歪斜	yīliùwāixié
一溜水	yīliūshuǐ
一溜烟	yīliùyān
一溜烟跑掉	yíliùyānpǎodiào
一溜遭	yīliūzāo
一溜雷	yīliūléi
一溜鞭光	yīliūbiānguāng
一溜风	yīliùfēng
一滴禅	yīdīchán
一火洒	yīhuǒsǎ
一灭行	yīmièxíng
一炮台	yīpàotái
一炮打响	yīpàodǎxiǎng
一炮而红	yīpàoérhóng
一点一点地	yìdiǎnyìdiǎnde
一点一点地完善	yìdiǎnyìdiǎndewánshàn
一点不	yīdiǎnbù
一点水一个泡	yīdiǎnshuǐyīgèpào
一点点地	yìdiǎndiǎnde
一点点地做好	yìdiǎndiǎndezuòhǎo
一点论	yìdiǎnlùn
一熏一莸	yīxūnyīyóu
一熟制	yīshúzhì
一熟悉地	yīshúxīde
一片	yīpiàn
一片丹心	yīpiàndānxīn
一片冰心	yīpiànbīngxīn
一片宫商	yīpiàngōngshāng
一片散沙	yīpiànsǎnshā
一片昏黑	yípiànhūnhēi
一片汪洋	yīpiànwāngyáng
一片混乱	yípiànhùnluàn
一片焦土	yīpiànjiāotǔ
一片片地	yīpiànpiànde
一片石	yīpiànshí
一片空白	yípiànkòngbái
一牛吼地	yīniúhǒudì
一牛鸣地	yīniúmíngdì
一物不成	yīwùbùchéng
一物不知	yīwùbùzhī
一物降一物	yīwùxiángyīwù
一犂雨	yīlíyǔ
一狐之掖	yīhúzhīyè
一王	yīwáng
一王法	yīwángfǎ
一现昙华	yīxiàntánhuā
一生吃着不尽	yīshēngchīzhuóbùjìn
一男半女	yīnánbànnǚ
一略数	yīlüèshù
一番	yīfān
一疙瘩	yīgēdā
一疲倦地	yīpíjuànde
一病不起	yībìngbùqǐ
一百个	yībǎigè
一百二十行	yībǎièrshíháng
一百八十度	yībǎibāshídù
一百六	yībǎiliù
一盘散沙	yīpánsǎnshā
一盛	yīshèng
一目了然	yīmùliǎorán
一目五行	yīmùwǔháng
一目十行	yīmùshíháng
一目数行	yīmùshùháng
一直在苦苦地	yìzhízàikǔkǔde
一直地	yìzhíde
一直安静地	yìzhíānjìngde
一直线地	yìzhíxiànde
一相情原	yīxiāngqíngyuán
一相情愿	yīxiāngqíngyuàn
一眼看穿	yīyǎnkànchuān
一着	yīzhāo
一着不慎	yīzhāobùshèn
一着不慎全盘皆输	yīzhāobùshènquánpánjiēshū
一着被蛇咬	yīzhāobèishéyǎo
一瞑不视	yīmíngbùshì
一瞬间	yīshùnjiān
一矢中的	yīshǐzhòngdì
一矢地	yīshǐdì
一知半见	yīzhībànjiàn
一知半解	yīzhībànjiě
一知片解	yīzhīpiànjiě
一石二鸟	yīshíèrniǎo
一石几钟	yīshíjǐzhōng
一砖一瓦	yīzhuānyīwǎ
一碧万顷	yībìwànqǐng
一神教	yīshénjiào
一神论	yīshénlùn
一票	yīpiào
一秉大公	yībǐngdàgōng
一种	yīzhǒng
一秘	yīmì
一稳定地	yīwěndengde
一空	yīkōng
一空依傍	yīkōngyībàng
一窍不通	yīqiàobùtōng
一窝蜂地	yīwōfēngde
一窝风	yīwōfēng
一竹竿打到底	yīzhúgāndǎdàodǐ
一竿子插到底	yīgānzichādàodǐ
一笑了之	yīxiàoliǎozhī
一笑了事	yīxiàoleshì
一笔不苟	yībǐbùgǒu
一笔勾	yībǐgōu
一笔勾断	yībǐgōuduàn
一笔勾消	yībǐgōuxiāo
一笔勾销	yībǐgōuxiāo
一笔带过	yībǐdàiguò
一笔抹摋	yībǐmòsà
一笔抹杀	yībǐmǒshā
一笔抹煞	yībǐmǒshā
一笴	yīgǎn
一答	yīdá
